15,43,99
94,55,21
42,15,7
47,97,35
96,57,60
35,90,62
75,15,52
70,65,24
56,85,49
74,30,46
60,60,16
77,60,2
100,48,6
35,45,1
86,34,9
50,47,60
16,11,90
19,96,72
54,72,46
96,48,15
22,3,81
94,74,21
87,22,56
73,41,61
98,53,18
17,42,26
68,34,95
9,39,75
69,55,30
90,3,53
42,86,1
84,57,22
52,88,47
22,71,4
20,18,53
91,19,93
86,17,98
60,28,7
13,86,74
45,43,24
44,79,44
47,39,74
8,90,2
10,34,95
72,8,55
97,60,27
75,89,33
29,39,30
15,73,25
88,100,86
66,92,32
8,21,30
73,56,13
80,82,26
85,1,9
4,27,37
57,18,7
19,25,24
81,12,90
3,11,55
34,88,85
96,34,94
78,20,17
55,80,40
68,23,77
63,53,19
2,57,88
48,24,21
93,44,49
25,44,65
10,12,24
60,54,37
71,24,51
83,94,33
50,50,59
55,54,80
73,84,82
23,91,77
42,88,47
100,42,95
38,99,98
9,59,34
86,32,2
77,51,74
83,70,91
89,99,39
9,83,30
76,87,26
38,50,24
39,48,81
63,24,52
74,92,4
25,70,41
72,53,30
81,64,1
22,74,92
46,63,50
43,52,15
37,41,77
61,85,50
11,76,15
31,72,88
50,28,41
8,69,97
37,57,28
88,86,45
47,3,32
96,10,15
94,10,5
90,28,2
38,45,73
8,32,89
25,49,24
87,67,59
56,83,65
50,90,56
47,69,6
90,82,34
64,23,17
24,59,73
68,97,78
29,9,38
13,75,95
67,57,7
64,46,6
71,85,85
53,5,82
32,85,24
78,54,42
74,23,13
28,2,46
91,76,44
4,23,13
43,14,58
16,70,17
24,44,93
78,70,24
33,55,76
31,55,42
29,71,10
59,15,12
43,64,64
38,28,96
46,72,2
88,80,85
83,46,72
5,94,94
95,18,47
9,92,64
86,93,30
23,26,24
21,9,36
40,68,8
26,46,71
5,63,49
97,54,69
18,71,56
35,34,57
32,36,100
10,3,50
85,22,88
35,39,7
25,45,18
60,3,75
90,78,94
13,55,49
29,37,81
22,8,22
56,3,37
80,81,5
5,3,46
59,84,98
55,45,3
81,56,34
13,37,6
63,87,73
83,22,40
92,23,90
10,62,1
65,58,38
37,28,18
20,80,55
75,89,95
48,66,33
31,16,100
96,76,61
30,21,4
5,21,33
57,21,96
98,49,58
43,53,3
13,92,58
99,14,73
81,93,41
58,47,42
47,54,51
13,7,78
69,39,11
99,11,27
75,2,57
15,46,47
56,64,65
82,33,96
85,90,57
44,81,33
83,24,6
54,7,92
58,79,78
28,79,97
49,80,83
82,59,42
61,32,8
56,4,27
59,64,29
58,67,22
17,48,42
8,99,79
59,64,3
13,44,94
65,66,39
71,92,60
49,11,26
71,10,89
55,19,99
12,48,6
70,10,66
55,41,4
48,31,61
71,16,38
63,28,5
96,57,21
63,66,65
54,84,62
97,26,12
46,44,25
53,11,81
51,20,21
83,84,1
18,81,4
22,23,63
52,79,28
70,46,96
13,20,48
13,21,64
64,57,57
67,74,49
20,42,93
13,71,12
84,82,10
100,87,66
81,39,52
61,73,93
88,37,8
63,50,65
95,57,47
92,84,97
55,14,13
29,30,100
8,78,59
23,43,28
74,54,58
95,88,56
64,59,96
93,11,30
100,60,26
49,52,48
40,61,82
16,97,70
16,22,22
14,9,12
34,89,82
95,59,21
91,51,41
62,95,14
75,33,35
88,86,18
76,51,35
44,54,46
14,67,83
75,59,49
59,69,58
81,84,26
97,78,14
4,99,54
51,58,22
69,2,60
18,47,64
39,79,40
50,52,69
67,45,49
68,99,49
8,78,33
83,16,35
33,24,71
82,75,55
54,4,3
7,71,74
18,52,1
93,96,11
25,18,1
57,32,90
22,72,80
26,11,91
69,69,49
97,43,57
3,65,35
39,99,32
59,41,22
53,75,59
78,60,2
60,74,74
5,68,83
4,51,53
28,1,40
92,37,93
73,78,95
4,42,60
9,52,3
66,5,25
42,55,65
73,16,89
14,91,98
31,99,98
8,16,56
64,58,92
8,6,72
88,22,92
5,39,16
45,100,39
71,95,40
4,25,48
76,36,23
63,54,52
20,95,3
6,35,19
88,98,4
26,3,6
31,27,28
75,65,40
10,68,7
58,37,68
96,64,95
44,66,45
77,42,1
56,95,62
97,26,44
45,65,86
59,89,60
31,18,98
59,39,92
50,42,71
45,5,13
31,12,80
2,83,43
59,15,7
24,18,56
57,43,19
93,17,31
46,6,29
43,95,42
94,12,76
99,64,33
34,52,11
